epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0957,0.99,4.04415,1.66921,0.00415,0.97778,0.22684,0.16465,0.77597,2.9595,1.45147,0.00025023,0.00025023,0.00025023
2,20.0345,0.775,3.19798,1.53092,0.56358,0.24599,0.37356,0.26353,0.89543,2.49607,1.59321,0.000456414,0.000456414,0.000456414
3,28.8251,0.77178,2.86102,1.46922,0.40053,0.46726,0.39561,0.27303,0.96321,2.39147,1.5759,0.000611843,0.000611843,0.000611843
4,37.0286,0.78195,2.60886,1.49949,0.42971,0.53569,0.45157,0.33277,0.88555,2.1824,1.49379,0.000540607,0.000540607,0.000540607
5,45.3913,0.73455,2.36436,1.45149,0.56694,0.62747,0.67035,0.5092,0.82879,1.65029,1.41382,0.000464476,0.000464476,0.000464476
6,53.4964,0.71279,2.1477,1.42824,0.53644,0.65123,0.60938,0.42772,0.92666,1.688,1.52054,0.000388345,0.000388345,0.000388345
7,62.0065,0.66199,1.98844,1.36731,0.63308,0.68228,0.68422,0.52361,0.81613,1.42555,1.38007,0.000312214,0.000312214,0.000312214
8,70.208,0.62328,1.7773,1.33106,0.71617,0.71644,0.77545,0.60348,0.81415,1.33373,1.36745,0.000236083,0.000236083,0.000236083
9,78.526,0.57312,1.66228,1.27591,0.73169,0.77418,0.81025,0.6602,0.7485,1.1419,1.31122,0.000159952,0.000159952,0.000159952
10,86.7643,0.55113,1.57887,1.24941,0.73344,0.80455,0.81055,0.65841,0.7278,1.08448,1.28159,8.3821e-05,8.3821e-05,8.3821e-05
